timestamp,state,x,y
1688627682538,1,-45.17798,-21.3954,0
1688627682538,1,-45.17798,-21.3954,1
1688627682538,1,-45.17798,-21.3954,2
1688627682558,1,-48.90002,-22.84803,0
1688627682558,1,-48.90002,-22.84803,1
1688627682558,1,-48.90002,-22.84803,2
1688627682582,1,-45.2155,-15.70911,0
1688627682582,1,-45.2155,-15.70911,1
1688627682582,1,-45.2155,-15.70911,2
1688627682601,1,-43.64175,-22.85628,0
1688627682601,1,-43.64175,-22.85628,1
1688627682601,1,-43.64175,-22.85628,2
1688627682622,1,-57.35072,-24.85228,0
1688627682622,1,-57.35072,-24.85228,1
1688627682622,1,-57.35072,-24.85228,2
1688627682646,1,-51.57589,-26.88088,0
1688627682646,1,-51.57589,-26.88088,1
1688627682646,1,-51.57589,-26.88088,2
1688627682666,1,-46.7194,-18.1304,0
1688627682666,1,-46.7194,-18.1304,1
1688627682666,1,-46.7194,-18.1304,2
1688627682686,1,-40.34986,-18.75272,0
1688627682686,1,-40.34986,-18.75272,1
1688627682686,1,-40.34986,-18.75272,2
1688627682706,1,-27.51846,-17.91039,0
1688627682706,1,-27.51846,-17.91039,1
1688627682706,1,-27.51846,-17.91039,2
1688627682726,1,-24.79272,-19.37518,0
1688627682726,1,-24.79272,-19.37518,1
1688627682726,1,-24.79272,-19.37518,2
1688627682749,1,-8.808946,-19.25907,0
1688627682749,1,-8.808946,-19.25907,1
1688627682749,1,-8.808946,-19.25907,2
1688627682768,1,-10.23345,-20.69035,0
1688627682768,1,-10.23345,-20.69035,1
1688627682768,1,-10.23345,-20.69035,2
1688627682789,1,-16.71662,-20.81046,0
1688627682789,1,-16.71662,-20.81046,1
1688627682789,1,-16.71662,-20.81046,2
1688627682814,1,-25.48623,-21.70424,0
1688627682814,1,-25.48623,-21.70424,1
1688627682814,1,-25.48623,-21.70424,2
1688627682832,1,-25.70181,-21.99593,0
1688627682832,1,-25.70181,-21.99593,1
1688627682832,1,-25.70181,-21.99593,2
1688627682851,1,-24.27973,-22.05434,0
1688627682851,1,-24.27973,-22.05434,1
1688627682851,1,-24.27973,-22.05434,2
1688627682871,1,-23.27289,-20.1221,0
1688627682871,1,-23.27289,-20.1221,1
1688627682871,1,-23.27289,-20.1221,2
1688627682896,1,-22.98283,-20.6203,0
1688627682896,1,-22.98283,-20.6203,1
1688627682896,1,-22.98283,-20.6203,2
1688627682915,1,-22.70627,-20.26744,0
1688627682915,1,-22.70627,-20.26744,1
1688627682915,1,-22.70627,-20.26744,2
1688627682937,1,-22.56994,-20.13993,0
1688627682937,1,-22.56994,-20.13993,1
1688627682937,1,-22.56994,-20.13993,2
1688627682954,1,-22.3875,-16.61515,0
1688627682954,1,-22.3875,-16.61515,1
1688627682954,1,-22.3875,-16.61515,2
1688627682974,1,-20.9754,-15.52043,0
1688627682974,1,-20.9754,-15.52043,1
1688627682974,1,-20.9754,-15.52043,2
1688627683001,1,-37.69016,-15.31625,0
1688627683001,1,-37.69016,-15.31625,1
1688627683001,1,-37.69016,-15.31625,2
1688627683019,1,-35.86654,-15.08131,0
1688627683019,1,-35.86654,-15.08131,1
1688627683019,1,-35.86654,-15.08131,2
1688627683038,1,-28.18498,-2.831221,0
1688627683038,1,-28.18498,-2.831221,1
1688627683038,1,-28.18498,-2.831221,2
1688627683063,1,-26.68328,-3.889894,0
1688627683063,1,-26.68328,-3.889894,1
1688627683063,1,-26.68328,-3.889894,2
1688627683083,1,-26.90024,-10.45909,0
1688627683083,1,-26.90024,-10.45909,1
1688627683083,1,-26.90024,-10.45909,2
1688627683105,1,-26.12223,-10.43692,0
1688627683105,1,-26.12223,-10.43692,1
1688627683105,1,-26.12223,-10.43692,2
1688627683123,1,-26.77316,-9.11479,0
1688627683123,1,-26.77316,-9.11479,1
1688627683123,1,-26.77316,-9.11479,2
1688627683141,1,30.92761,-16.29319,0
1688627683141,1,30.92761,-16.29319,1
1688627683141,1,30.92761,-16.29319,2
1688627683166,1,12.75024,18.19067,0
1688627683166,1,12.75024,18.19067,1
1688627683166,1,12.75024,18.19067,2
1688627683188,1,-4.572534,35.67972,0
1688627683188,1,-4.572534,35.67972,1
1688627683188,1,-4.572534,35.67972,2
1688627683206,1,-5.219363,35.97732,0
1688627683206,1,-5.219363,35.97732,1
1688627683206,1,-5.219363,35.97732,2
1688627683227,1,-8.672332,32.7961,0
1688627683227,1,-8.672332,32.7961,1
1688627683227,1,-8.672332,32.7961,2
1688627683254,1,-18.27502,22.65534,0
1688627683254,1,-18.27502,22.65534,1
1688627683254,1,-18.27502,22.65534,2
1688627683268,1,-29.74095,10.6421,0
1688627683268,1,-29.74095,10.6421,1
1688627683268,1,-29.74095,10.6421,2
1688627683289,1,-9.464643,32.04451,0
1688627683289,1,-9.464643,32.04451,1
1688627683289,1,-9.464643,32.04451,2
1688627683311,1,-8.787345,32.46164,0
1688627683311,1,-8.787345,32.46164,1
1688627683311,1,-8.787345,32.46164,2
1688627683333,1,14.19473,2.449417,0
1688627683333,1,14.19473,2.449417,1
1688627683333,1,14.19473,2.449417,2
1688627683360,1,-29.565,3.122616,0
1688627683360,1,-29.565,3.122616,1
1688627683360,1,-29.565,3.122616,2
1688627683382,1,-29.0183,6.060696,0
1688627683382,1,-29.0183,6.060696,1
1688627683382,1,-29.0183,6.060696,2
